"frame.time_epoch	frame.len	eth.src	eth.dst	ip.src	ip.dst	tcp.srcport	tcp.dstport	udp.srcport	udp.dstport	icmp.type	icmp.code	arp.opcode	arp.src.hw_mac	arp.src.proto_ipv4	arp.dst.hw_mac	arp.dst.proto_ipv4	ipv6.src	ipv6.dst"	frame.time_epoch	frame.len	eth.src	eth.dst	ip.src	ip.dst	tcp.srcport	tcp.dstport	udp.srcport	udp.dstport	icmp.type	icmp.code	arp.opcode	arp.src.hw_mac	arp.src.proto_ipv4	arp.dst.hw_mac	arp.dst.proto_ipv4	ipv6.src	ipv6.dst
	1532987933.2367048	115.0	b8:27:eb:e1:a9:f6	ac:9b:0a:33:a4:82	192.168.3.22	192.168.3.11	6494.0	31930.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1523275439.5657015	43802.0	ac:9b:0a:33:a5:95	ac:9b:0a:33:a4:82	192.168.3.13	192.168.3.11	61986.0	36295.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1531810371.524289	898.0	48:7a:da:b2:0f:76	01:00:5e:00:00:01	192.168.3.12	192.168.3.11	54718.0	35294.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1524474868.3094645	395.0	10:4f:a8:7e:77:c5	ff:ff:ff:ff:ff:ff	192.168.3.7	192.168.3.11	61839.0	49422.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1520457569.262969	62.0	18:db:f2:01:09:33	10:4f:a8:7e:77:c5	192.168.3.13	192.168.3.11	45165.0	6152.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1515251622.6735113	870.0	10:4f:a8:7e:77:c5	ac:9b:0a:33:a4:82	192.168.3.22	192.168.3.11	40098.0	9673.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1493768153.792881	217.0	b8:27:eb:e1:a9:f6	ac:9b:0a:33:a4:82	0.0.0.0	192.168.3.11	51385.0	48005.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1538598001.429562	14028.0	c8:00:84:2a:39:51	ac:9b:0a:33:a4:82	192.168.3.1	192.168.3.11	64134.0	30668.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1490332296.4693887	15051.0	ac:9b:0a:33:a4:82	c8:00:84:2a:39:51	192.168.3.7	192.168.3.11	48035.0	19827.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	1519305175.5423853	39639.0	18:db:f2:01:09:33	ac:9b:0a:33:a4:82	0.0.0.0	192.168.3.11	61681.0	39804.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
